df_id,df_description,dimension_id,max_level,levels,n_territories,checked_at
111_263_DF_DCSC_FIDIMPRMAN_11,"Clima, saldi e frequenze mensili grezzi per Ateco",REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_12,Saldi e frequenze mensili grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_13,Modulo trimestrale imprese esportatrici e capacità produttiva destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_14,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi - rip.,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_15,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per Ateco,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_16,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_17,Clima e saldi mensili destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_18,"Clima, saldi e frequenze mensili grezzi - rip.",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_19,"Clima, saldi e frequenze mensili grezzi per Ateco",REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_2,"Clima, saldi e frequenze mensili grezzi - rip.",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_20,Saldi e frequenze mensili grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_21,Modulo trimestrale imprese esportatrici e capacità produttiva destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_22,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi - rip.,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_23,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per Ateco,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_24,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_4,Saldi e frequenze mensili grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_5,Modulo trimestrale imprese esportatrici e capacità produttiva destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_6,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi - rip.,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_7,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per Ateco,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_8,Modulo trimestrale imprese esportatrici e capacità produttiva grezzi per classe di addetti,REF_AREA,nazionale,nazionale,1,2026-07-16
111_263_DF_DCSC_FIDIMPRMAN_9,Clima e saldi mensili destagionalizzati,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
111_40,Fiducia delle imprese costruzioni,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_1,Clima e saldi destagionalizzati - mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_2,"Clima, saldi e frequenze grezzi per divisioni delle costruzioni - mensili",REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_3,Durata di attività assicurata grezzi - trimestrali,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_4,Clima e saldi destagionalizzati - mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_5,"Clima, saldi e frequenze grezzi per divisioni delle costruzioni - mensili",REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_6,Durata di attività assicurata grezzi - trimestrali,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_7,Clima e saldi destagionalizzati - mensili,REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_8,"Clima, saldi e frequenze grezzi per divisioni delle costruzioni - mensili",REF_AREA,nazionale,nazionale,1,2026-07-16
111_40_DF_DCSC_FIDIMPRCOSTR_9,Durata di attività assicurata grezzi - trimestrali,REF_AREA,nazionale,nazionale,1,2026-07-16
114_191,Indice dei nuovi ordinativi e del fatturato dei prodotti industriali,REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_1,Fatturato dei prodotti industriali - Mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_10,Volume del fatturato industriale - Mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_2,Indice di volume del fatturato manifatturiero - Mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_3,Nuovi ordinativi dei prodotti industriali - Mensili (base 2015 - dati fino a dicembre 2020),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_4,Nuovi ordinativi - Mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_5,Fatturato - Mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_6,Volume del fatturato manifatturiero - Mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_7,Nuovi ordinativi - Mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_8,Fatturato - Mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
114_191_DF_DCSC_ORDFATT_9,Valore del fatturato industriale - Mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
115_168,Produzione industriale in quantità e valore,REF_AREA,nazionale,nazionale,1,2026-07-16
115_168_DF_DCSP_PRODCOM_1,Produzione industriale per settore economico (Ateco 2 cifre),REF_AREA,nazionale,nazionale,1,2026-07-16
115_168_DF_DCSP_PRODCOM_2,Produzione in valore e quantità per singolo prodotto (Prodcom),REF_AREA,nazionale,nazionale,1,2026-07-16
115_168_DF_DCSP_PRODCOM_3,Produzione in valore e quantità per tutti i prodotti (Prodcom),REF_AREA,nazionale,nazionale,1,2026-07-16
115_333,Indice della produzione industriale,REF_AREA,nazionale,nazionale,1,2026-07-16
115_333_DF_DCSC_INDXPRODIND_1_1,Indice della produzione industriale - Mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
115_333_DF_DCSC_INDXPRODIND_1_2,Dettaglio settori economici (Ateco 4 cifre),REF_AREA,nazionale,nazionale,1,2026-07-16
115_333_DF_DCSC_INDXPRODIND_1_4,Mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
115_333_DF_DCSC_INDXPRODIND_1_5,Mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
115_333_DF_DCSC_INDXPRODIND_1_6,Indice della produzione industriale - Mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
115_362_DF_DCSC_INDXPRODCOSTR_1_1,Indice della produzione nelle costruzioni - Mensili (base 2015),REF_AREA,nazionale,nazionale,1,2026-07-16
115_362_DF_DCSC_INDXPRODCOSTR_1_2,Mensili (base 2010),REF_AREA,nazionale,nazionale,1,2026-07-16
115_362_DF_DCSC_INDXPRODCOSTR_1_3,Mensili (base 2005),REF_AREA,nazionale,nazionale,1,2026-07-16
115_362_DF_DCSC_INDXPRODCOSTR_1_4,Indice della produzione nelle costruzioni - Mensili (base 2021),REF_AREA,nazionale,nazionale,1,2026-07-16
117_1035,Servizi bancari - dati comunali,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,6113,2026-07-16
117_1035_DF_DCAT_SERVBANC_COM_1,Servizi bancari - dati comunali,REF_AREA,comune,nazionale|ripartizione|regione|provincia|comune,6113,2026-07-16
117_1057,Trasporto ferroviario,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_1,Trasporto ferroviario - Principali dati,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_2,Passeggeri e percorrenza media per tipo di destinazione,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_3,Merci trasportate per gruppo merceologico (NST/2007),REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_4,Merci trasportate per paese di destinazione,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_5,Merci trasportate per paese di origine,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_6,Trasporto intermodale,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_7,Merci pericolose,REF_AREA,nazionale,nazionale,1,2026-07-16
117_1057_DF_DCSC_TRAFERR_8,Incidenti ferroviari,REF_AREA,nazionale,nazionale,1,2026-07-16
117_262,Fiducia delle imprese servizi,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_1,Clima e saldi (Ateco macrosettori) - mensili grezzi e destagionalizzati,REF_AREA,nazionale,nazionale,1,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_10,Saldi e frequenze (Ateco 2 cifre) - mensili grezzi,REF_AREA,nazionale,nazionale,1,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_11,Saldi e frequenze (ostacoli e capacità) - trimestrali grezzi,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_2,"Clima, saldi e frequenze - mensili grezzi e destagionalizzati - rip",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_3,Saldi e frequenze (Ateco 2 cifre) - mensili grezzi,REF_AREA,nazionale,nazionale,1,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_4,Saldi e frequenze (ostacoli e capacità) - trimestrali grezzi,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_5,Clima e saldi mensili destagionalizzati per Ateco2007 - livello nazionale e ripartizionale,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_6,"Clima, saldi e frequenze mensili grezzi per Ateco 2007 - livello nazionale e ripartizionale",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_7,Saldi e frequenze modulo trimestrale ostacoli e capacità grezzi,REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_8,Clima e saldi (Ateco macrosettori) - mensili grezzi e destagionalizzati,REF_AREA,nazionale,nazionale,1,2026-07-16
117_262_DF_DCSC_FIDIMPRSERV_9,"Clima, saldi e frequenze - mensili grezzi e destagionalizzati - rip",REF_AREA,regione,nazionale|ripartizione|regione,5,2026-07-16
117_266,Fiducia delle imprese del commercio,REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_1,Clima e saldi per forma di vendita - mensili destagionalizzati,REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_2,"Clima, saldi e frequenze per Ateco 2007 e forma di vendita - mensili grezzi",REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_3,Clima e saldi mensili destagionalizzati per forma di vendita,REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_4,"Clima, saldi e frequenze mensili grezzi per Ateco e forma di vendita",REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_5,Clima e saldi per forma di vendita - mensili destagionalizzati,REF_AREA,nazionale,nazionale,1,2026-07-16
117_266_DF_DCSC_FIDCOMM_6,"Clima, saldi e frequenze per Ateco 2007 e forma di vendita - mensili grezzi",REF_AREA,nazionale,nazionale,1,2026-07-16
119_367,Indice del fatturato dei servizi,REF_AREA,nazionale,nazionale,1,2026-07-16
119_367_DF_DCSC_FATTSERVIZ_1_4,Indice del fatturato dei servizi - Mensili (base 2021=100),REF_AREA,nazionale,nazionale,1,2026-07-16
11_111,Edilizia residenziale - dati annuali,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,150,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_1,Fabbricati residenziali nuovi e relative abitazioni  - province e classi di comune,REF_AREA,provincia,nazionale|ripartizione|regione|provincia,150,2026-07-16
11_111_DF_DCSC_RESID_CONSTR_10,Superfici dei fabbricati residenziali nuovi per destinazione d'uso -  ripartizioni e classi di comune,REF_AREA,ripartizione,nazionale|ripartizione,19,2026-07-16
